data,eta,prima_dose,seconda_dose,terza_dose,pregressa_infezione,mono_dose
2020-12-27,12-19,0.0,0.0,0,0,0.0
2020-12-27,20-29,680.0,7.0,0,7,0.0
2020-12-27,30-39,1069.0,2.0,0,2,0.0
2020-12-27,40-49,1488.0,2.0,0,2,0.0
2020-12-27,50-59,2191.0,2.0,0,2,0.0
2020-12-27,60-69,1423.0,6.0,0,6,0.0
2020-12-27,70-79,128.0,2.0,0,2,0.0
2020-12-27,80-89,117.0,1.0,0,1,0.0
2020-12-27,90+,76.0,2.0,0,2,0.0
2020-12-28,12-19,0.0,0.0,0,0,0.0
2020-12-28,20-29,174.0,1.0,0,1,0.0
2020-12-28,30-39,278.0,0.0,0,0,0.0
2020-12-28,40-49,369.0,1.0,0,1,0.0
2020-12-28,50-59,428.0,0.0,0,0,0.0
2020-12-28,60-69,252.0,0.0,0,0,0.0
2020-12-28,70-79,0.0,0.0,0,0,0.0
2020-12-28,80-89,2.0,0.0,0,0,0.0
2020-12-28,90+,0.0,0.0,0,0,0.0
2020-12-29,12-19,0.0,0.0,0,0,0.0
2020-12-29,20-29,89.0,0.0,0,0,0.0
2020-12-29,30-39,211.0,1.0,0,1,0.0
2020-12-29,40-49,240.0,0.0,0,0,0.0
2020-12-29,50-59,331.0,0.0,0,0,0.0
2020-12-29,60-69,201.0,0.0,0,0,0.0
2020-12-29,70-79,8.0,0.0,0,0,0.0
2020-12-29,80-89,9.0,0.0,0,0,0.0
2020-12-29,90+,9.0,0.0,0,0,0.0
2020-12-30,12-19,3.0,0.0,0,0,0.0
2020-12-30,20-29,491.0,6.0,0,6,0.0
2020-12-30,30-39,883.0,6.0,0,6,0.0
2020-12-30,40-49,1249.0,4.0,0,4,0.0
2020-12-30,50-59,1298.0,2.0,0,2,0.0
2020-12-30,60-69,595.0,1.0,0,1,0.0
2020-12-30,70-79,95.0,0.0,0,0,0.0
2020-12-30,80-89,161.0,0.0,0,0,0.0
2020-12-30,90+,98.0,0.0,0,0,0.0
2020-12-31,12-19,23.0,0.0,0,0,0.0
2020-12-31,20-29,2416.0,35.0,0,35,0.0
2020-12-31,30-39,4358.0,23.0,0,23,0.0
2020-12-31,40-49,5817.0,25.0,0,25,0.0
2020-12-31,50-59,7222.0,18.0,0,18,0.0
2020-12-31,60-69,3608.0,6.0,0,6,0.0
2020-12-31,70-79,579.0,5.0,0,5,0.0
2020-12-31,80-89,1039.0,4.0,0,4,0.0
2020-12-31,90+,792.0,4.0,0,4,0.0
2021-01-01,12-19,3.0,0.0,0,0,0.0
2021-01-01,20-29,945.0,6.0,0,6,0.0
2021-01-01,30-39,1992.0,18.0,0,18,0.0
2021-01-01,40-49,2479.0,6.0,0,6,0.0
2021-01-01,50-59,3273.0,6.0,0,6,0.0
2021-01-01,60-69,1747.0,2.0,0,2,0.0
2021-01-01,70-79,190.0,0.0,0,0,0.0
2021-01-01,80-89,286.0,1.0,0,1,0.0
2021-01-01,90+,326.0,0.0,0,0,0.0
2021-01-02,12-19,22.0,0.0,0,0,0.0
2021-01-02,20-29,3534.0,44.0,0,44,0.0
2021-01-02,30-39,6979.0,59.0,0,59,0.0
2021-01-02,40-49,8534.0,37.0,0,37,0.0
2021-01-02,50-59,10964.0,37.0,0,37,0.0
2021-01-02,60-69,6683.0,12.0,0,12,0.0
2021-01-02,70-79,605.0,3.0,0,3,0.0
2021-01-02,80-89,804.0,9.0,0,9,0.0
2021-01-02,90+,754.0,6.0,0,6,0.0
2021-01-03,12-19,2.0,0.0,0,0,0.0
2021-01-03,20-29,3523.0,38.0,0,38,0.0
2021-01-03,30-39,6247.0,43.0,0,43,0.0
2021-01-03,40-49,7918.0,31.0,0,31,0.0
2021-01-03,50-59,10270.0,26.0,0,26,0.0
2021-01-03,60-69,6098.0,13.0,0,13,0.0
2021-01-03,70-79,540.0,2.0,0,2,0.0
2021-01-03,80-89,597.0,1.0,0,1,0.0
2021-01-03,90+,531.0,3.0,0,3,0.0
2021-01-04,12-19,12.0,0.0,0,0,0.0
2021-01-04,20-29,6014.0,72.0,0,70,2.0
2021-01-04,30-39,12261.0,69.0,0,64,5.0
2021-01-04,40-49,14761.0,52.0,0,50,2.0
2021-01-04,50-59,20193.0,55.0,0,55,0.0
2021-01-04,60-69,12117.0,28.0,0,28,0.0
2021-01-04,70-79,1146.0,8.0,0,8,0.0
2021-01-04,80-89,1480.0,22.0,0,22,0.0
2021-01-04,90+,1364.0,13.0,0,13,0.0
2021-01-05,12-19,23.0,0.0,0,0,0.0
2021-01-05,20-29,6827.0,68.0,0,68,0.0
2021-01-05,30-39,13758.0,74.0,0,74,0.0
2021-01-05,40-49,16744.0,48.0,0,46,2.0
2021-01-05,50-59,23149.0,69.0,0,69,0.0
2021-01-05,60-69,14228.0,28.0,0,28,0.0
2021-01-05,70-79,1566.0,13.0,0,13,0.0
2021-01-05,80-89,1838.0,28.0,0,28,0.0
2021-01-05,90+,1802.0,22.0,0,22,0.0
2021-01-06,12-19,39.0,1.0,0,1,0.0
2021-01-06,20-29,6557.0,63.0,0,62,1.0
2021-01-06,30-39,11231.0,83.0,0,82,1.0
2021-01-06,40-49,12813.0,49.0,0,49,0.0
2021-01-06,50-59,17806.0,61.0,0,61,0.0
2021-01-06,60-69,11867.0,25.0,0,25,0.0
2021-01-06,70-79,1671.0,11.0,0,11,0.0
2021-01-06,80-89,1481.0,25.0,0,25,0.0
2021-01-06,90+,1388.0,29.0,0,29,0.0
2021-01-07,12-19,33.0,0.0,0,0,0.0
2021-01-07,20-29,7693.0,56.0,0,55,1.0
2021-01-07,30-39,15072.0,90.0,0,89,1.0
2021-01-07,40-49,18995.0,66.0,0,66,0.0
2021-01-07,50-59,26465.0,64.0,0,64,0.0
2021-01-07,60-69,15640.0,35.0,0,35,0.0
2021-01-07,70-79,2344.0,12.0,0,12,0.0
2021-01-07,80-89,3181.0,35.0,0,35,0.0
2021-01-07,90+,2861.0,35.0,0,35,0.0
2021-01-08,12-19,47.0,0.0,0,0,0.0
2021-01-08,20-29,9138.0,59.0,0,59,0.0
2021-01-08,30-39,15598.0,98.0,0,98,0.0
2021-01-08,40-49,19804.0,86.0,0,86,0.0
2021-01-08,50-59,27208.0,78.0,0,78,0.0
2021-01-08,60-69,16261.0,38.0,0,38,0.0
2021-01-08,70-79,2688.0,18.0,0,18,0.0
2021-01-08,80-89,3115.0,32.0,0,32,0.0
2021-01-08,90+,2703.0,45.0,0,45,0.0
2021-01-09,12-19,83.0,3.0,0,3,0.0
2021-01-09,20-29,8969.0,67.0,0,67,0.0
2021-01-09,30-39,13685.0,61.0,0,61,0.0
2021-01-09,40-49,16629.0,61.0,0,61,0.0
2021-01-09,50-59,22795.0,74.0,0,74,0.0
2021-01-09,60-69,17263.0,37.0,0,37,0.0
2021-01-09,70-79,3097.0,15.0,0,15,0.0
2021-01-09,80-89,2942.0,40.0,0,40,0.0
2021-01-09,90+,2458.0,11.0,0,11,0.0
2021-01-10,12-19,146.0,0.0,0,0,0.0
2021-01-10,20-29,7513.0,54.0,0,54,0.0
2021-01-10,30-39,9966.0,44.0,0,44,0.0
2021-01-10,40-49,11573.0,31.0,0,31,0.0
2021-01-10,50-59,15343.0,52.0,0,52,0.0
2021-01-10,60-69,10769.0,16.0,0,16,0.0
2021-01-10,70-79,2251.0,2.0,0,2,0.0
2021-01-10,80-89,1757.0,18.0,0,18,0.0
2021-01-10,90+,1401.0,8.0,0,8,0.0
2021-01-11,12-19,86.0,1.0,0,0,1.0
2021-01-11,20-29,8406.0,44.0,0,44,0.0
2021-01-11,30-39,12224.0,63.0,0,63,0.0
2021-01-11,40-49,15787.0,67.0,0,65,2.0
2021-01-11,50-59,22243.0,82.0,0,82,0.0
2021-01-11,60-69,13211.0,45.0,0,45,0.0
2021-01-11,70-79,3100.0,10.0,0,10,0.0
2021-01-11,80-89,3839.0,26.0,0,26,0.0
2021-01-11,90+,2969.0,28.0,0,28,0.0
2021-01-12,12-19,69.0,0.0,0,0,0.0
2021-01-12,20-29,8781.0,36.0,0,36,0.0
2021-01-12,30-39,12076.0,44.0,0,44,0.0
2021-01-12,40-49,15691.0,48.0,0,48,0.0
2021-01-12,50-59,21528.0,60.0,0,60,0.0
2021-01-12,60-69,13202.0,42.0,0,42,0.0
2021-01-12,70-79,3710.0,23.0,0,23,0.0
2021-01-12,80-89,4383.0,38.0,0,38,0.0
2021-01-12,90+,3781.0,34.0,0,34,0.0
2021-01-13,12-19,149.0,0.0,0,0,0.0
2021-01-13,20-29,10303.0,52.0,0,52,0.0
2021-01-13,30-39,13830.0,71.0,0,71,0.0
2021-01-13,40-49,17696.0,72.0,0,72,0.0
2021-01-13,50-59,23845.0,97.0,0,97,0.0
2021-01-13,60-69,14034.0,43.0,0,43,0.0
